id,time,x_axis,y_axis,z_axis,LED,fall,magnitude,light,temp,tilt,mag,sound,flame
1,10:36:08,0.003906,0.011719,1.023438,000,-1,1.0235125459128482,212.280252,23.638899,0.006104,3.405761,0.343018,4.318847
2,10:36:08,-0.003906,0.015625,1.023438,000,-1,1.023564720623469,212.646463,23.638899,0.006104,3.405761,0.345459,4.321289
3,10:36:08,0.003906,0.015625,1.019531,000,-1,1.0196582061759714,212.402322,23.629459,0.006104,3.405761,0.371094,4.32373
4,10:36:08,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.524392,23.629459,0.006104,3.405761,0.368652,4.32373
5,10:36:09,0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.280252,23.629459,0.006104,3.405761,0.350342,4.326171
6,10:36:09,0.003906,0.015625,1.011719,000,-1,1.0118471882759767,212.036111,23.638899,0.006104,3.405761,0.3479,4.321289
7,10:36:09,0.003906,0.011719,1.011719,000,-1,1.01179440933324,212.158181,23.629459,0.006104,3.405761,0.344238,4.320068
8,10:36:09,-0.003906,0.007812,1.011719,000,-1,1.0117566995780163,212.158181,23.638899,0.006104,3.404541,0.350342,4.322509
9,10:36:10,0.003906,0.015625,1.023438,000,-1,1.023564720623469,212.402322,23.638899,0.006104,3.405761,0.34668,4.324951
10,10:36:10,-0.003906,0.007812,1.019531,000,-1,1.019568410721419,212.402322,23.638899,0.006104,3.405761,0.343018,4.32373
11,10:36:10,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.280252,23.629459,0.006104,3.405761,0.344238,4.317627
12,10:36:10,0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.402322,23.629459,0.006104,3.406982,0.341797,4.327392
13,10:36:11,0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.280252,23.629459,0.006104,3.405761,0.344238,4.32373
14,10:36:11,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.158181,23.629459,0.006104,3.406982,0.343018,4.322509
15,10:36:11,0.003906,0.019531,1.007812,000,-1,1.0080088016188151,212.036111,23.629459,0.006104,3.405761,0.367432,4.328613
16,10:36:11,0.003906,0.007812,1.019531,000,-1,1.019568410721419,212.158181,23.629459,0.006104,3.405761,0.3479,4.321289
17,10:36:12,-0.003906,0.007812,1.019531,000,-1,1.019568410721419,211.914041,23.610579,0.006104,3.405761,0.350342,4.32373
18,10:36:12,-0.003906,0.007812,1.015625,000,-1,1.0156625545942903,211.914041,23.629459,0.004883,3.405761,0.358887,4.321289
19,10:36:12,0.003906,0.011719,1.011719,000,-1,1.01179440933324,212.280252,23.629459,0.006104,3.405761,0.344238,4.322509
20,10:36:12,0.003906,0.015625,1.011719,000,-1,1.0118471882759767,212.280252,23.620019,0.006104,3.404541,0.3479,4.322509
21,10:36:13,0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.402322,23.629459,0.006104,3.408203,0.3479,4.326171
22,10:36:13,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.402322,23.620019,0.006104,3.405761,0.343018,4.320068
23,10:36:14,0.003906,0.007812,1.015625,000,-1,1.0156625545942903,212.036111,23.629459,0.006104,3.405761,0.3479,4.321289
24,10:36:14,0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.524392,23.629459,0.006104,3.405761,0.339355,4.316406
25,10:36:14,-0.003906,0.007812,1.023438,000,-1,1.0234752679102705,213.134744,23.638899,0.006104,3.405761,0.317383,4.322509
26,10:36:15,0.003906,0.015625,1.011719,000,-1,1.0118471882759767,213.012674,23.638899,0.006104,3.405761,0.318603,4.322509
27,10:36:15,0.003906,0.007812,1.019531,000,-1,1.019568410721419,213.012674,23.629459,0.006104,3.408203,0.318603,4.318847
28,10:36:15,-0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.768533,23.629459,0.006104,3.40332,0.34668,4.324951
29,10:36:15,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.646463,23.638899,0.006104,3.406982,0.341797,4.318847
30,10:36:16,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.890603,23.638899,0.006104,3.405761,0.319824,4.321289
31,10:36:16,-0.003906,0.007812,1.011719,000,-1,1.0117566995780163,213.012674,23.629459,0.006104,3.404541,0.319824,4.324951
32,10:36:16,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,213.134744,23.629459,0.006104,3.406982,0.319824,4.32373
33,10:36:16,0.003906,0.011719,1.011719,000,-1,1.01179440933324,213.012674,23.629459,0.006104,3.405761,0.318603,4.321289
34,10:36:17,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,213.134744,23.638899,0.006104,3.405761,0.338135,4.320068
35,10:36:17,-0.003906,0.015625,1.019531,000,-1,1.0196582061759714,212.890603,23.638899,0.006104,3.404541,0.338135,4.321289
36,10:36:18,0.003906,0.011719,1.023438,000,-1,1.0235125459128482,213.256814,23.638899,0.006104,3.404541,0.343018,4.327392
37,10:36:18,-0.003906,0.015625,1.015625,000,-1,1.0157526953377973,213.500955,23.638899,0.006104,3.406982,0.321045,4.32373
38,10:36:18,0.003906,0.015625,1.023438,000,-1,1.023564720623469,213.500955,23.638899,0.006104,3.406982,0.336914,4.32373
39,10:36:18,0.003906,0.007812,1.015625,000,-1,1.0156625545942903,213.378884,23.638899,0.006104,3.404541,0.32959,4.318847
40,10:36:18,-0.003906,0.011719,1.027344,000,-1,1.0274182625070474,213.256814,23.638899,0.006104,3.405761,0.340576,4.320068
41,10:36:19,0.003906,0.007812,1.027344,000,-1,1.0273811262214232,213.623025,23.638899,0.006104,3.404541,0.332031,4.326171
42,10:36:19,0.003906,0.011719,1.027344,000,-1,1.0274182625070474,213.256814,23.648339,0.006104,3.405761,0.327148,4.320068
43,10:36:19,0.003906,0.011719,1.011719,000,-1,1.01179440933324,213.378884,23.648339,0.006104,3.404541,0.3479,4.318847
44,10:36:19,-0.003906,0.011719,1.023438,000,-1,1.0235125459128482,213.256814,23.638899,0.006104,3.405761,0.332031,4.320068
45,10:36:20,0.003906,0.011719,1.023438,000,-1,1.0235125459128482,213.012674,23.638899,0.006104,3.405761,0.340576,4.318847
46,10:36:20,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,213.256814,23.638899,0.006104,3.406982,0.325928,4.32373
47,10:36:20,0.003906,0.015625,1.015625,000,-1,1.0157526953377973,213.500955,23.629459,0.006104,3.40332,0.322266,4.327392
48,10:36:20,0.003906,0.011719,1.015625,000,-1,1.0157001193373958,213.378884,23.638899,0.006104,3.406982,0.322266,4.320068
49,10:36:21,-0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.890603,23.638899,0.006104,3.405761,0.323486,4.322509
50,10:36:21,0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.890603,23.638899,0.006104,3.405761,0.335693,4.324951
51,10:36:22,-0.003906,0.011719,1.011719,000,-1,1.01179440933324,213.134744,23.638899,0.006104,3.405761,0.325928,4.324951
52,10:36:22,-0.003906,0.007812,1.011719,000,-1,1.0117566995780163,212.768533,23.648339,0.006104,3.405761,0.338135,4.320068
53,10:36:23,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.768533,23.638899,0.006104,3.405761,0.336914,4.321289
54,10:36:23,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.524392,23.638899,0.006104,3.404541,0.32959,4.32373
55,10:36:24,0.003906,0.015625,1.023438,000,-1,1.023564720623469,212.402322,23.638899,0.006104,3.404541,0.336914,4.321289
56,10:36:24,0.003906,0.015625,1.007812,000,-1,1.0079406851620782,212.402322,23.638899,0.006104,3.405761,0.338135,4.318847
57,10:36:24,0.003906,0.019531,1.015625,000,-1,1.0158202879555025,212.768533,23.638899,0.006104,3.404541,0.336914,4.327392
58,10:36:24,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.524392,23.638899,0.006104,3.405761,0.334473,4.321289
59,10:36:24,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.768533,23.648339,0.006104,3.406982,0.341797,4.324951
60,10:36:25,0.003906,0.011719,1.011719,000,-1,1.01179440933324,212.402322,23.648339,0.006104,3.406982,0.3479,4.322509
61,10:36:25,-0.003906,0.015625,1.019531,000,-1,1.0196582061759714,212.402322,23.638899,0.006104,3.405761,0.330811,4.32373
62,10:36:25,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.280252,23.638899,0.006104,3.404541,0.356445,4.326171
63,10:36:25,-0.003906,0.007812,1.019531,000,-1,1.019568410721419,212.158181,23.638899,0.006104,3.405761,0.330811,4.321289
64,10:36:26,-0.003906,0.011719,1.027344,000,-1,1.0274182625070474,212.280252,23.638899,0.006104,3.405761,0.333252,4.324951
65,10:36:26,-0.003906,0.007812,1.015625,000,-1,1.0156625545942903,212.158181,23.648339,0.006104,3.405761,0.332031,4.322509
66,10:36:26,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.402322,23.648339,0.006104,3.405761,0.345459,4.32373
67,10:36:26,-0.003906,0.011719,1.03125,000,-1,1.031323981247891,212.524392,23.638899,0.006104,3.405761,0.32959,4.32373
68,10:36:27,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.402322,23.648339,0.006104,3.405761,0.333252,4.321289
69,10:36:27,-0.003906,0.019531,1.019531,000,-1,1.0197255399165013,212.280252,23.638899,0.006104,3.405761,0.354004,4.322509
70,10:36:27,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.158181,23.629459,0.006104,3.405761,0.350342,4.32373
71,10:36:28,-0.003906,0.011719,1.011719,000,-1,1.01179440933324,212.280252,23.629459,0.006104,3.405761,0.343018,4.324951
72,10:36:28,0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.036111,23.620019,0.006104,3.405761,0.333252,4.318847
73,10:36:29,0.003906,0.007812,1.015625,000,-1,1.0156625545942903,212.280252,23.629459,0.006104,3.406982,0.32959,4.321289
74,10:36:30,-0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.280252,23.629459,0.006104,3.405761,0.333252,4.322509
75,10:36:30,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.280252,23.638899,0.006104,3.405761,0.335693,4.321289
76,10:36:31,0.003906,0.007812,1.023438,000,-1,1.0234752679102705,212.646463,23.629459,0.006104,3.405761,0.335693,4.324951
77,10:36:31,-0.003906,0.007812,1.015625,000,-1,1.0156625545942903,212.646463,23.629459,0.006104,3.405761,0.324707,4.321289
78,10:36:31,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.158181,23.629459,0.006104,3.406982,0.32959,4.318847
79,10:36:31,0.003906,0.011719,1.023438,000,-1,1.0235125459128482,212.646463,23.638899,0.006104,3.405761,0.328369,4.326171
80,10:36:31,0.007812,0.015625,1.023438,000,-1,1.023587078764186,212.646463,23.629459,0.006104,3.405761,0.327148,4.321289
81,10:36:31,-0.003906,0.011719,1.011719,000,-1,1.01179440933324,212.524392,23.638899,0.006104,3.404541,0.32959,4.32373
82,10:36:32,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,212.524392,23.638899,0.006104,3.405761,0.330811,4.326171
83,10:36:32,-0.003906,0.007812,1.015625,000,-1,1.0156625545942903,212.524392,23.629459,0.006104,3.405761,0.328369,4.322509
84,10:36:32,-0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.280252,23.638899,0.006104,3.406982,0.332031,4.322509
85,10:36:32,-0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.158181,23.638899,0.006104,3.405761,0.334473,4.320068
86,10:36:33,-0.003906,0.011719,1.023438,000,-1,1.0235125459128482,211.914041,23.648339,0.006104,3.405761,0.328369,4.32373
87,10:36:33,0.003906,0.015625,1.015625,000,-1,1.0157526953377973,212.402322,23.638899,0.006104,3.405761,0.327148,4.322509
88,10:36:34,-0.003906,0.015625,1.027344,000,-1,1.0274702388862658,212.280252,23.638899,0.006104,3.406982,0.325928,4.322509
89,10:36:34,-0.003906,0.007812,1.019531,000,-1,1.019568410721419,212.158181,23.648339,0.006104,3.405761,0.340576,4.320068
90,10:36:34,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.280252,23.648339,0.006104,3.405761,0.345459,4.320068
91,10:36:34,-0.003906,0.015625,1.023438,000,-1,1.023564720623469,212.402322,23.648339,0.006104,3.405761,0.332031,4.320068
92,10:36:35,0.003906,0.011719,1.011719,000,-1,1.01179440933324,212.646463,23.648339,0.006104,3.405761,0.352783,4.32373
93,10:36:35,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,212.524392,23.638899,0.006104,3.405761,0.336914,4.322509
94,10:36:36,0.003906,0.007812,1.023438,000,-1,1.0234752679102705,212.036111,23.648339,0.006104,3.405761,0.336914,4.328613
95,10:36:37,0.003906,0.007812,1.015625,000,-1,1.0156625545942903,210.205057,23.648339,0.006104,3.405761,0.335693,4.321289
96,10:36:37,-0.003906,0.015625,1.019531,000,-1,1.0196582061759714,209.594705,23.648339,0.006104,3.405761,0.354004,4.32373
97,10:36:37,0.003906,0.015625,1.027344,000,-1,1.0274702388862658,209.106424,23.648339,0.006104,3.405761,0.344238,4.320068
98,10:36:38,0.003906,0.015625,1.015625,000,-1,1.0157526953377973,209.106424,23.648339,0.006104,3.405761,0.336914,4.327392
99,10:36:39,0.003906,0.019531,1.023438,000,-1,1.0236317973964077,210.327127,23.648339,0.006104,3.405761,0.330811,4.322509
100,10:36:39,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,211.914041,23.648339,0.006104,3.405761,0.336914,4.322509
101,10:36:39,0.003906,0.011719,1.011719,000,-1,1.01179440933324,210.082986,23.648339,0.006104,3.406982,0.352783,4.320068
102,10:36:40,-0.003906,0.011719,1.011719,000,-1,1.01179440933324,210.571268,23.648339,0.006104,3.406982,0.336914,4.32373
103,10:36:41,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,211.42576,23.648339,0.006104,3.405761,0.339355,4.322509
104,10:36:41,-0.003906,0.011719,1.023438,000,-1,1.0235125459128482,210.449197,23.648339,0.006104,3.405761,0.356445,4.328613
105,10:36:42,0.003906,0.015625,1.015625,000,-1,1.0157526953377973,209.594705,23.648339,0.006104,3.405761,0.341797,4.32373
106,10:36:42,-0.007812,0.011719,1.019531,000,-1,1.0196282765135536,203.49119,23.638899,0.006104,3.405761,0.358887,4.324951
107,10:36:42,-0.003906,0.011719,1.007812,000,-1,1.007887701651826,201.293925,23.638899,0.006104,3.405761,0.334473,4.326171
108,10:36:42,-0.003906,0.015625,1.011719,000,-1,1.0118471882759767,201.904276,23.648339,0.006104,3.405761,0.334473,4.324951
109,10:36:43,0.003906,0.007812,1.015625,000,-1,1.0156625545942903,213.134744,23.629459,0.006104,3.404541,0.335693,4.328613
110,10:36:43,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,273.071261,23.629459,0.006104,3.406982,0.3479,4.321289
111,10:36:43,0.003906,0.015625,1.015625,000,-1,1.0157526953377973,309.082,23.610579,0.006104,3.405761,0.341797,4.32373
112,10:36:43,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,313.842741,23.610579,0.006104,3.405761,0.341797,4.32373
113,10:36:43,0.003906,0.007812,1.011719,000,-1,1.0117566995780163,302.001922,23.620019,0.006104,3.405761,0.349121,4.320068
114,10:36:44,0.003906,0.011719,1.019531,000,-1,1.0196058315633547,302.001922,23.695539,0.006104,3.387451,0.339355,4.302978
115,10:36:44,-0.003906,0.007812,1.019531,000,-1,1.019568410721419,288.085908,24.337633,0.006104,3.236084,0.322266,4.168701
116,10:36:44,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,295.776337,23.752178,0.006104,3.375244,0.340576,4.291992
117,10:36:44,0.003906,0.015625,1.019531,000,-1,1.0196582061759714,292.236298,23.742738,0.006104,3.377685,0.343018,4.291992
118,10:36:45,-0.003906,0.015625,1.019531,000,-1,1.0196582061759714,294.067353,23.827697,0.006104,3.356933,0.336914,4.270019
119,10:36:45,0.003906,0.011719,1.027344,000,-1,1.0274182625070474,293.823212,23.865457,0.006104,3.35083,0.336914,4.262695
120,10:36:46,0.007812,0.007812,1.015625,000,-1,1.0156850866843523,292.84665,23.856017,0.006104,3.349609,0.339355,4.262695
121,10:36:46,0.003906,0.011719,1.011719,000,-1,1.01179440933324,296.020478,23.856017,0.006104,3.349609,0.339355,4.261474
122,10:36:46,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,295.532196,23.865457,0.006104,3.349609,0.339355,4.265136
123,10:36:47,0.003906,0.019531,1.015625,000,-1,1.0158202879555025,291.992158,23.874898,0.006104,3.349609,0.338135,4.261474
124,10:36:48,-0.003906,0.011719,1.023438,000,-1,1.0235125459128482,292.96872,23.865457,0.006104,3.348388,0.339355,4.261474
125,10:36:48,0.003906,0.011719,1.023438,000,-1,1.0235125459128482,296.87497,23.874898,0.006104,3.348388,0.343018,4.265136
126,10:36:48,0.007812,0.007812,1.023438,000,-1,1.0234976280050678,292.96872,23.874898,0.006104,3.348388,0.338135,4.261474
127,10:36:49,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,289.794892,23.884338,0.006104,3.348388,0.339355,4.261474
128,10:36:49,-0.003906,0.011719,1.019531,000,-1,1.0196058315633547,289.184541,23.884338,0.006104,3.347168,0.341797,4.259033
129,10:36:49,-0.003906,0.011719,1.011719,000,-1,1.01179440933324,288.9404,23.884338,0.006104,3.347168,0.339355,4.259033
130,10:36:49,0.003906,0.011719,1.015625,000,-1,1.0157001193373958,289.550752,23.884338,0.006104,3.345947,0.341797,4.261474
131,10:36:50,-0.003906,0.011719,1.015625,000,-1,1.0157001193373958,288.207978,23.874898,0.006104,3.345947,0.339355,4.259033
132,10:36:50,-0.003906,0.011719,1.023438,000,-1,1.0235125459128482,292.236298,23.884338,0.006104,3.347168,0.339355,4.261474
133,10:36:50,-0.003906,0.015625,1.023438,000,-1,1.023564720623469,290.405244,23.884338,0.006104,3.345947,0.335693,4.257812
134,10:36:50,0.003906,0.011719,1.011719,000,-1,1.01179440933324,292.96872,23.884338,0.006104,3.345947,0.339355,4.262695
135,10:36:52,0.003906,0.007812,1.011719,000,-1,1.0117566995780163,294.921845,23.884338,0.006104,3.345947,0.341797,4.260253
