timestamp,x_axis,y_axis,z_axis,fall,pitch,roll,tilt
2025-07-30T11:32:10.018600,0.09375,0.023438,1.011719,-1,1.3214467241062564,5.292729694872776,
2025-07-30T11:32:10.101601,0.097656,0.027344,1.011719,-1,1.5410127456422753,5.511384454141645,
2025-07-30T11:32:10.562972,0.097656,0.019531,1.015625,-1,1.096635444566442,5.49130150680882,
2025-07-30T11:32:11.075973,0.101562,0.023438,1.019531,-1,1.3104570312405632,5.687338012400963,
2025-07-30T11:32:11.567973,0.101562,0.019531,1.019531,-1,1.0920684431053218,5.687794094563548,
2025-07-30T11:32:12.067710,0.101562,0.019531,1.019531,-1,1.0920684431053218,5.687794094563548,
2025-07-30T11:32:12.563838,0.101562,0.019531,1.011719,-1,1.1004150083653357,5.731404990147706,
2025-07-30T11:32:13.063612,0.101562,0.019531,1.015625,-1,1.096225919859268,5.709516556822664,
2025-07-30T11:32:13.563799,0.097656,0.019531,1.011719,-1,1.1008292476542405,5.512363913338462,
2025-07-30T11:32:14.065094,0.101562,0.019531,1.03125,-1,1.079781126273517,5.6235985165999605,
2025-07-30T11:32:14.564150,0.101562,0.03125,1.011719,-1,1.760348960274538,5.729751307153566,
2025-07-30T11:32:15.068207,0.09375,0.019531,1.015625,-1,1.0970293430846303,5.272926545897011,
2025-07-30T11:32:15.567177,0.101562,0.023438,1.011719,-1,1.320471638188119,5.73093833714436,
2025-07-30T11:32:16.065738,0.101562,0.019531,1.011719,-1,1.1004150083653357,5.731404990147706,
2025-07-30T11:32:16.568005,0.101562,0.023438,1.011719,-1,1.320471638188119,5.73093833714436,
2025-07-30T11:32:17.065109,0.101562,0.019531,1.011719,-1,1.1004150083653357,5.731404990147706,
2025-07-30T11:32:17.566322,0.097656,0.027344,1.011719,-1,1.5410127456422753,5.511384454141645,
2025-07-30T11:32:18.067176,0.097656,0.023438,1.015625,-1,1.3159367403825732,5.490857590410248,
2025-07-30T11:32:18.567290,0.101562,0.023438,1.015625,-1,1.3154453731404354,5.709055229536082,
2025-07-30T11:32:19.070850,0.101562,0.027344,1.007812,-1,1.546342035635243,5.752437299101919,
2025-07-30T11:32:19.568873,0.097656,0.019531,1.011719,-1,1.1008292476542405,5.512363913338462,
2025-07-30T11:32:20.070506,0.101562,0.019531,1.015625,-1,1.096225919859268,5.709516556822664,
2025-07-30T11:32:20.566824,0.101562,0.023438,1.011719,-1,1.320471638188119,5.73093833714436,
2025-07-30T11:32:21.070597,0.097656,0.027344,1.019531,-1,1.5293183090240678,5.469441663586914,
2025-07-30T11:32:21.567213,0.097656,0.023438,1.015625,-1,1.3159367403825732,5.490857590410248,
2025-07-30T11:32:22.069169,0.101562,0.015625,1.007812,-1,0.8837604504292568,5.753853180920439,
2025-07-30T11:32:22.569191,0.097656,0.019531,1.023438,-1,1.0883414773947102,5.449649076031802,
2025-07-30T11:32:23.072345,0.105469,0.027344,1.007812,-1,1.5457331446156797,5.972158389671728,
2025-07-30T11:32:23.567598,0.101562,0.027344,1.019531,-1,1.528751660560781,5.68679928071572,
2025-07-30T11:32:24.070363,0.09375,0.027344,1.011719,-1,1.5415703713936395,5.292220126151441,
2025-07-30T11:32:24.570439,0.09375,0.023438,1.015625,-1,1.3164093585233636,5.272500078926647,
2025-07-30T11:32:25.070736,0.097656,0.019531,1.019531,-1,1.0924733243310982,5.470398926825157,
2025-07-30T11:32:25.569201,0.097656,0.019531,1.011719,-1,1.1008292476542405,5.512363913338462,
2025-07-30T11:32:26.070260,0.097656,0.019531,1.015625,-1,1.096635444566442,5.49130150680882,
2025-07-30T11:32:26.571351,0.101562,0.027344,1.011719,-1,1.540433003275586,5.730387121235732,
2025-07-30T11:32:27.070635,0.101562,0.03125,1.007812,-1,1.7671005791374312,5.751794117778727,
2025-07-30T11:32:27.569980,0.101562,0.027344,1.015625,-1,1.534570218789768,5.708510303318903,
2025-07-30T11:32:28.075285,0.097656,0.027344,1.011719,-1,1.5410127456422753,5.511384454141645,
2025-07-30T11:32:28.572858,0.09375,0.015625,1.019531,-1,0.8743395627361643,5.253190595534111,
2025-07-30T11:32:29.071885,0.101562,0.027344,1.007812,-1,1.546342035635243,5.752437299101919,
2025-07-30T11:32:29.571845,0.101562,0.027344,1.011719,-1,1.540433003275586,5.730387121235732,
2025-07-30T11:32:30.076603,0.105469,0.027344,1.003906,-1,1.551678854946124,5.995208899245587,
2025-07-30T11:32:30.572646,0.097656,0.019531,1.007812,-1,1.1050561809857185,5.533593435017922,
2025-07-30T11:32:31.073817,0.105469,0.015625,1.015625,-1,0.8766902678492122,5.928012997203151,
2025-07-30T11:32:31.575504,0.101562,0.023438,1.023438,-1,1.3055049243893393,5.665779316043311,
2025-07-30T11:32:32.076983,0.097656,0.015625,1.015625,-1,0.8773581510368312,5.491664693541132,
2025-07-30T11:32:32.578365,0.101562,0.023438,1.019531,-1,1.3104570312405632,5.687338012400963,
2025-07-30T11:32:33.077070,0.097656,0.03125,1.007812,-1,1.767770643174026,5.531983703641566,
2025-07-30T11:32:33.579710,0.101562,0.019531,1.007812,-1,1.1046371534171922,5.753466965599213,
2025-07-30T11:32:34.076803,0.097656,0.023438,1.019531,-1,1.310942827605342,5.469960060076996,
2025-07-30T11:32:34.582620,0.101562,0.027344,1.011719,-1,1.540433003275586,5.730387121235732,
2025-07-30T11:32:35.076617,0.097656,0.019531,1.019531,-1,1.0924733243310982,5.470398926825157,
2025-07-30T11:32:35.586021,0.097656,0.035156,1.019531,-1,1.965929648722189,5.468166257183099,
2025-07-30T11:32:36.099636,0.101562,0.019531,1.011719,-1,1.1004150083653357,5.731404990147706,
2025-07-30T11:32:36.590197,0.097656,0.023438,1.007812,-1,1.3260403277271895,5.533139183566787,
2025-07-30T11:32:37.088580,0.097656,0.023438,1.011719,-1,1.320968661596538,5.511914869651738,
2025-07-30T11:32:37.636635,0.101562,0.023438,1.015625,-1,1.3154453731404354,5.709055229536082,
2025-07-30T11:32:38.082634,0.09375,0.019531,1.011719,-1,1.1012276842157058,5.293161089962573,
2025-07-30T11:32:38.588170,0.09375,0.015625,1.015625,-1,0.8776733154570716,5.27327545655273,
2025-07-30T11:32:39.080886,0.101562,0.019531,1.011719,-1,1.1004150083653357,5.731404990147706,
2025-07-30T11:32:39.611884,0.097656,0.023438,1.007812,-1,1.3260403277271895,5.533139183566787,
2025-07-30T11:32:40.113881,0.101562,0.019531,1.019531,-1,1.0920684431053218,5.687794094563548,
2025-07-30T11:32:40.626884,0.101562,0.015625,1.023438,-1,0.8704017331759631,5.666599141999504,
2025-07-30T11:32:41.111885,0.097656,0.027344,1.011719,-1,1.5410127456422753,5.511384454141645,
2025-07-30T11:32:41.617885,0.097656,0.023438,1.015625,-1,1.3159367403825732,5.490857590410248,
2025-07-30T11:32:42.109882,0.097656,0.023438,1.015625,-1,1.3159367403825732,5.490857590410248,
2025-07-30T11:32:42.618894,0.097656,0.019531,1.007812,-1,1.1050561809857185,5.533593435017922,
2025-07-30T11:32:43.139885,0.097656,0.023438,1.019531,-1,1.310942827605342,5.469960060076996,
2025-07-30T11:32:43.619884,0.101562,0.023438,1.011719,-1,1.320471638188119,5.73093833714436,
2025-07-30T11:32:44.090822,0.089844,0.03125,1.011719,-1,1.7622602958186873,5.072336701546659,
2025-07-30T11:32:44.591432,0.097656,0.019531,1.007812,-1,1.1050561809857185,5.533593435017922,
2025-07-30T11:32:45.098431,0.101562,0.015625,1.011719,-1,0.8803822409076365,5.731786779260077,
2025-07-30T11:32:45.588623,0.101562,0.023438,1.011719,-1,1.320471638188119,5.73093833714436,
2025-07-30T11:32:46.086818,0.101562,0.019531,1.011719,-1,1.1004150083653357,5.731404990147706,
2025-07-30T11:32:46.600195,0.101562,0.023438,1.015625,-1,1.3154453731404354,5.709055229536082,
2025-07-30T11:32:47.091087,0.097656,0.023438,1.019531,-1,1.310942827605342,5.469960060076996,
2025-07-30T11:32:47.595841,0.097656,0.027344,1.007812,-1,1.5469284777696457,5.53260261768973,
2025-07-30T11:32:48.091410,0.097656,0.019531,1.011719,-1,1.1008292476542405,5.512363913338462,
2025-07-30T11:32:48.606460,0.097656,0.019531,1.007812,-1,1.1050561809857185,5.533593435017922,
2025-07-30T11:32:49.092969,0.101562,0.019531,1.011719,-1,1.1004150083653357,5.731404990147706,
2025-07-30T11:32:49.589486,0.09375,0.027344,1.019531,-1,1.5298633312685426,5.251926026122262,
2025-07-30T11:32:50.092649,0.09375,0.019531,1.011719,-1,1.1012276842157058,5.293161089962573,
2025-07-30T11:32:50.588846,0.097656,0.027344,1.019531,-1,1.5293183090240678,5.469441663586914,
2025-07-30T11:32:51.088279,0.097656,0.019531,1.011719,-1,1.1008292476542405,5.512363913338462,
2025-07-30T11:32:51.591174,0.097656,0.019531,1.007812,-1,1.1050561809857185,5.533593435017922,
2025-07-30T11:32:52.091992,0.101562,0.023438,1.015625,-1,1.3154453731404354,5.709055229536082,
2025-07-30T11:32:52.591814,0.101562,0.019531,1.015625,-1,1.096225919859268,5.709516556822664,
2025-07-30T11:32:53.091776,0.105469,0.019531,1.019531,-1,1.0916480521930036,5.905080672497397,
2025-07-30T11:32:53.591487,0.09375,0.019531,1.019531,-1,1.0928627533063535,5.252845656272157,
2025-07-30T11:32:54.091173,0.097656,0.023438,1.015625,-1,1.3159367403825732,5.490857590410248,
2025-07-30T11:32:54.594704,0.097656,0.023438,1.007812,-1,1.3260403277271895,5.533139183566787,
2025-07-30T11:32:55.097446,0.097656,0.023438,1.007812,-1,1.3260403277271895,5.533139183566787,
