timestamp,id,posture,motion,alertness,fall,light,temp
2025-08-06T13:11:35.881819,1090,3.003906,3.011719,3.023438,-1,209.350564,24.073163
2025-08-06T13:11:36.371980,1091,3.003906,3.015625,3.019531,-1,209.350564,24.082606
2025-08-06T13:11:37.873401,1092,3.003906,3.007812,3.015625,-1,209.716775,24.054279
2025-08-06T13:11:39.371869,1093,3.003906,3.007812,3.023438,-1,210.082986,24.082606
2025-08-06T13:11:40.372830,1094,3.003906,3.015625,3.0117190000000003,-1,209.716775,24.101492
2025-08-06T13:11:40.873293,1095,3.003906,3.011719,3.019531,-1,209.472635,24.101492
2025-08-06T13:11:41.386736,1096,3.003906,3.011719,3.0117190000000003,-1,209.350564,24.073163
2025-08-06T13:11:41.875645,1097,3.003906,3.011719,3.019531,-1,209.472635,24.082606
2025-08-06T13:11:43.376962,1098,3.003906,3.011719,3.019531,-1,209.960916,24.082606
2025-08-06T13:11:44.380855,1099,3.003906,3.007812,3.015625,-1,209.838846,24.073163
2025-08-06T13:11:44.883828,1100,3.003906,3.011719,3.019531,-1,209.594705,24.063721
2025-08-06T13:11:46.886656,1101,3.003906,3.015625,3.019531,-1,209.716775,24.063721
2025-08-06T13:11:47.386651,1102,3.003906,3.007812,3.023438,-1,209.838846,24.044836
2025-08-06T13:11:49.888361,1103,3.003906,3.015625,3.0117190000000003,-1,209.472635,24.082606
2025-08-06T13:11:50.393405,1104,3.003906,3.015625,3.015625,-1,209.594705,24.082606
2025-08-06T13:11:50.898827,1105,3.003906,3.011719,3.015625,-1,209.716775,24.063721
2025-08-06T13:11:51.397994,1106,3.003906,3.011719,3.015625,-1,209.716775,24.063721
2025-08-06T13:11:52.395381,1107,3.003906,3.011719,3.015625,-1,209.838846,24.054279
2025-08-06T13:11:52.893380,1108,3.003906,3.011719,3.019531,-1,209.838846,24.044836
2025-08-06T13:11:53.895747,1109,3.003906,3.019531,3.019531,-1,209.716775,24.044836
2025-08-06T13:11:54.902251,1110,3.003906,3.015625,3.019531,-1,209.472635,24.035394
2025-08-06T13:11:55.395276,1111,3.003906,3.007812,3.015625,-1,209.228494,24.044836
2025-08-06T13:11:56.418420,1112,3.003906,3.007812,3.019531,-1,209.594705,24.035394
2025-08-06T13:11:58.906409,1113,3.003906,3.011719,3.019531,-1,209.716775,24.044836
2025-08-06T13:11:59.914264,1114,3.003906,3.015625,3.019531,-1,209.594705,24.063721
