timestamp,magnitude,sound
2025-08-14T13:18:07.822625,1.019972661628242,0.179443
2025-08-14T13:18:08.043458,1.019972661628242,0.179443
2025-08-14T13:18:08.425456,1.0118163017643074,0.205078
2025-08-14T13:18:08.721456,1.0235118131418903,0.201416
2025-08-14T13:18:08.905454,1.0199502242565566,0.187988
2025-08-14T13:18:09.191905,1.012170611448485,0.179443
2025-08-14T13:18:09.373904,1.024204770118261,0.181885
2025-08-14T13:18:09.566903,1.0195986179850385,0.19043
2025-08-14T13:18:09.777906,1.0160833749279634,0.183105
2025-08-14T13:18:10.065905,1.01962106309403,0.206299
2025-08-14T13:18:10.262903,1.012170611448485,0.181885
2025-08-14T13:18:10.448812,1.024204770118261,0.203857
2025-08-14T13:18:10.637812,1.0234894533569947,0.184326
2025-08-14T13:18:10.826900,1.0203390918243798,0.187988
2025-08-14T13:18:11.017898,1.012170611448485,0.184326
2025-08-14T13:18:11.201895,1.015707899020678,0.179443
2025-08-14T13:18:11.384895,1.012170611448485,0.179443
2025-08-14T13:18:11.562196,1.0238397234416137,0.181885
2025-08-14T13:18:11.753197,1.012170611448485,0.206299
2025-08-14T13:18:11.927197,1.015707899020678,0.179443
2025-08-14T13:18:12.103197,1.0160833749279634,0.179443
2025-08-14T13:18:12.292615,1.012170611448485,0.178223
2025-08-14T13:18:12.499616,1.01962106309403,0.183105
2025-08-14T13:18:16.269457,1.0160608516703122,0.179443
2025-08-14T13:18:16.458477,1.0238397234416137,0.19043
2025-08-14T13:18:16.680831,1.024204770118261,0.186768
2025-08-14T13:18:16.995829,1.0118163017643074,0.181885
2025-08-14T13:18:17.293827,1.0160608516703122,0.179443
2025-08-14T13:18:17.478829,1.0160608516703122,0.183105
2025-08-14T13:18:17.865827,1.015707899020678,0.187988
2025-08-14T13:18:18.181826,1.0079485247352664,0.198975
2025-08-14T13:18:18.380827,1.0238397234416137,0.200195
2025-08-14T13:18:18.571827,1.0195986179850385,0.179443
2025-08-14T13:18:18.765204,1.015707899020678,0.184326
2025-08-14T13:18:18.944212,1.0199502242565566,0.184326
2025-08-14T13:18:19.294350,1.0238620755770769,0.203857
2025-08-14T13:18:19.526348,1.0161209241138578,0.184326
2025-08-14T13:18:19.705124,1.0160833749279634,0.184326
2025-08-14T13:18:19.884143,1.0199502242565566,0.181885
2025-08-14T13:18:20.076147,1.012170611448485,0.183105
2025-08-14T13:18:20.268624,1.015707899020678,0.183105
2025-08-14T13:18:20.451624,1.019972661628242,0.194092
2025-08-14T13:18:20.630623,1.012193221271512,0.185547
2025-08-14T13:18:20.821624,1.015707899020678,0.179443
2025-08-14T13:18:21.108623,1.015707899020678,0.178223
2025-08-14T13:18:21.295623,1.015707899020678,0.184326
2025-08-14T13:18:21.469622,1.012193221271512,0.180664
2025-08-14T13:18:21.648623,1.0157304301048582,0.20752
2025-08-14T13:18:21.934644,1.015707899020678,0.206299
2025-08-14T13:18:22.137301,1.016451207211148,0.189209
2025-08-14T13:18:22.336301,1.0199502242565566,0.179443
2025-08-14T13:18:22.627301,1.0160608516703122,0.179443
2025-08-14T13:18:22.924301,1.0195986179850385,0.180664
2025-08-14T13:18:23.277313,1.0160608516703122,0.178223
2025-08-14T13:18:23.527309,1.0157304301048582,0.184326
2025-08-14T13:18:23.741312,1.0199502242565566,0.181885
2025-08-14T13:18:23.935308,1.015707899020678,0.179443
2025-08-14T13:18:24.125315,1.0274036750586404,0.197754
2025-08-14T13:18:24.308309,1.019972661628242,0.178223
2025-08-14T13:18:24.493309,1.0195986179850385,0.179443
2025-08-14T13:18:24.674322,1.015707899020678,0.180664
2025-08-14T13:18:24.866321,1.0195986179850385,0.178223
2025-08-14T13:18:25.050322,1.0199502242565566,0.180664
2025-08-14T13:18:25.238323,1.024204770118261,0.205078
2025-08-14T13:18:25.533323,1.0079258196950804,0.179443
2025-08-14T13:18:25.720320,1.01962106309403,0.203857
2025-08-14T13:18:26.110313,1.016451207211148,0.181885
2025-08-14T13:18:26.297315,1.016451207211148,0.184326
2025-08-14T13:18:26.481313,1.01642869210437,0.181885
2025-08-14T13:18:26.660034,1.01962106309403,0.180664
2025-08-14T13:18:26.846032,1.0199502242565566,0.183105
2025-08-14T13:18:27.026034,1.0160833749279634,0.186768
2025-08-14T13:18:27.410628,1.0234894533569947,0.180664
2025-08-14T13:18:27.695917,1.01962106309403,0.184326
2025-08-14T13:18:27.896917,1.01962106309403,0.183105
2025-08-14T13:18:28.097918,1.0235118131418903,0.180664
2025-08-14T13:18:28.278917,1.0157304301048582,0.179443
2025-08-14T13:18:28.463919,1.0195986179850385,0.181885
2025-08-14T13:18:28.659198,1.024204770118261,0.179443
2025-08-14T13:18:28.848198,1.012170611448485,0.181885
2025-08-14T13:18:29.390202,1.023899339496808,0.178223
2025-08-14T13:18:29.565198,1.0234894533569947,0.189209
2025-08-14T13:18:29.753199,1.0157304301048582,0.180664
2025-08-14T13:18:29.938198,1.0199502242565566,0.187988
2025-08-14T13:18:30.119361,1.0199502242565566,0.203857
2025-08-14T13:18:30.400363,1.024204770118261,0.197754
2025-08-14T13:18:30.701362,1.0238620755770769,0.181885
2025-08-14T13:18:30.935362,1.015707899020678,0.184326
2025-08-14T13:18:31.174362,1.0160608516703122,0.197754
2025-08-14T13:18:31.529363,1.015707899020678,0.186768
2025-08-14T13:18:31.719360,1.012193221271512,0.179443
2025-08-14T13:18:32.006361,1.0235118131418903,0.197754
2025-08-14T13:18:32.192357,1.0160608516703122,0.185547
2025-08-14T13:18:32.367401,1.0238620755770769,0.189209
2025-08-14T13:18:32.699385,1.0160608516703122,0.185547
2025-08-14T13:18:32.878368,1.0118163017643074,0.179443
2025-08-14T13:18:33.120368,1.0082814964939106,0.179443
2025-08-14T13:18:33.317368,1.0234894533569947,0.189209
2025-08-14T13:18:33.516369,1.01642869210437,0.184326
2025-08-14T13:18:33.700388,1.0234894533569947,0.184326
2025-08-14T13:18:33.881388,1.0153698496808934,0.179443
2025-08-14T13:18:34.065443,1.0281162684852332,0.186768
2025-08-14T13:18:34.245443,1.020316662510713,0.186768
2025-08-14T13:18:34.554443,1.0234894533569947,0.183105
2025-08-14T13:18:34.738746,1.019972661628242,0.203857
2025-08-14T13:18:34.937759,1.0195986179850385,0.185547
2025-08-14T13:18:35.121760,1.019972661628242,0.184326
2025-08-14T13:18:35.298776,1.0238620755770769,0.186768
2025-08-14T13:18:35.474528,1.028094008841604,0.186768
2025-08-14T13:18:35.647546,1.0160608516703122,0.196533
2025-08-14T13:18:35.833810,1.0118163017643074,0.179443
2025-08-14T13:18:36.117810,1.015707899020678,0.179443
2025-08-14T13:18:36.304780,1.028094008841604,0.184326
2025-08-14T13:18:36.501780,1.0195986179850385,0.184326
2025-08-14T13:18:36.674118,1.0160608516703122,0.179443
2025-08-14T13:18:36.859073,1.019972661628242,0.179443
2025-08-14T13:18:37.056075,1.0231763421566196,0.201416
2025-08-14T13:18:37.240073,1.0160833749279634,0.194092
2025-08-14T13:18:37.447140,1.015707899020678,0.197754
2025-08-14T13:18:37.642222,1.0160608516703122,0.178223
2025-08-14T13:18:37.830220,1.0238397234416137,0.187988
2025-08-14T13:18:38.019219,1.0199502242565566,0.178223
2025-08-14T13:18:38.197223,1.0234894533569947,0.180664
2025-08-14T13:18:38.377245,1.0160608516703122,0.178223
2025-08-14T13:18:38.785052,1.020316662510713,0.178223
2025-08-14T13:18:39.020052,1.019972661628242,0.181885
2025-08-14T13:18:39.224052,1.0270471929390588,0.178223
2025-08-14T13:18:39.531056,1.0203390918243798,0.206299
2025-08-14T13:18:39.890052,1.0160608516703122,0.183105
2025-08-14T13:18:40.085053,1.0199502242565566,0.192871
2025-08-14T13:18:40.278052,1.0153698496808934,0.180664
2025-08-14T13:18:40.560069,1.015707899020678,0.179443
2025-08-14T13:18:40.741069,1.01962106309403,0.197754
2025-08-14T13:18:40.926068,1.0199502242565566,0.189209
2025-08-14T13:18:41.103078,1.0195986179850385,0.20752
2025-08-14T13:18:41.313078,1.0200100676395307,0.179443
2025-08-14T13:18:41.491082,1.0238397234416137,0.179443
2025-08-14T13:18:41.973692,1.0238397234416137,0.180664
2025-08-14T13:18:42.149208,1.0234894533569947,0.185547
2025-08-14T13:18:42.334209,1.0234894533569947,0.180664
2025-08-14T13:18:42.542208,1.02426436492636,0.181885
2025-08-14T13:18:42.727599,1.0153698496808934,0.19165
2025-08-14T13:18:42.912600,1.0238397234416137,0.187988
2025-08-14T13:18:43.092636,1.019972661628242,0.184326
2025-08-14T13:18:43.269242,1.0160608516703122,0.201416
2025-08-14T13:18:43.468953,1.0195986179850385,0.180664
2025-08-14T13:18:43.646953,1.019972661628242,0.187988
2025-08-14T13:18:43.833953,1.020316662510713,0.183105
2025-08-14T13:18:44.015758,1.012170611448485,0.180664
2025-08-14T13:18:44.304757,1.020316662510713,0.181885
2025-08-14T13:18:44.595477,1.015707899020678,0.183105
2025-08-14T13:18:44.773477,1.011876626195605,0.194092
2025-08-14T13:18:44.960499,1.015707899020678,0.195312
2025-08-14T13:18:45.149189,1.019972661628242,0.202637
2025-08-14T13:18:45.336189,1.0199502242565566,0.179443
2025-08-14T13:18:45.726198,1.0118389195044832,0.183105
2025-08-14T13:18:45.919676,1.0277526111316868,0.202637
2025-08-14T13:18:46.099045,1.0160833749279634,0.179443
2025-08-14T13:18:46.576179,1.0199502242565566,0.185547
2025-08-14T13:18:46.756544,1.0157304301048582,0.202637
2025-08-14T13:18:46.941542,1.0157304301048582,0.184326
2025-08-14T13:18:47.232468,1.015707899020678,0.203857
2025-08-14T13:18:47.408394,1.011499577128928,0.180664
2025-08-14T13:18:47.692760,1.016451207211148,0.201416
2025-08-14T13:18:47.937403,1.0160833749279634,0.19043
2025-08-14T13:18:48.224404,1.0160608516703122,0.184326
2025-08-14T13:18:48.418013,1.020316662510713,0.179443
2025-08-14T13:18:48.592013,1.0277303436115914,0.179443
2025-08-14T13:18:48.786947,1.0235118131418903,0.200195
