timestamp,date,time,magnitude
2025-07-30T06:15:07.433Z,7/30/2025,9:15:07 AM,1.0118698053257644
2025-07-30T06:15:15.935Z,7/30/2025,9:15:15 AM,1.023564720623469
2025-07-30T06:15:16.439Z,7/30/2025,9:15:16 AM,1.019785396484476
2025-07-30T06:15:17.435Z,7/30/2025,9:15:17 AM,1.0197255399165013
2025-07-30T06:15:17.936Z,7/30/2025,9:15:17 AM,1.0159254440228378
2025-07-30T06:15:18.434Z,7/30/2025,9:15:18 AM,1.0237361510819083
2025-07-30T06:15:18.946Z,7/30/2025,9:15:18 AM,1.0158202879555025
2025-07-30T06:15:19.445Z,7/30/2025,9:15:19 AM,1.0749710411252946
2025-07-30T06:15:19.946Z,7/30/2025,9:15:19 AM,0.9558186031611856
2025-07-30T06:15:20.439Z,7/30/2025,9:15:20 AM,0.964812086525143
2025-07-30T06:15:20.939Z,7/30/2025,9:15:20 AM,1.0112507595215936
2025-07-30T06:15:21.437Z,7/30/2025,9:15:21 AM,0.9649779456272564
2025-07-30T06:15:21.939Z,7/30/2025,9:15:21 AM,1.409333818342553
2025-07-30T06:15:22.435Z,7/30/2025,9:15:22 AM,1.1925138077359945
2025-07-30T06:15:22.939Z,7/30/2025,9:15:22 AM,0.9659893639021084
2025-07-30T06:15:23.439Z,7/30/2025,9:15:23 AM,0.9477703373207036
2025-07-30T06:15:23.944Z,7/30/2025,9:15:23 AM,1.0532536763007287
2025-07-30T06:15:24.440Z,7/30/2025,9:15:24 AM,0.9659738447546082
2025-07-30T06:15:24.939Z,7/30/2025,9:15:24 AM,0.9153054940625016
2025-07-30T06:15:25.439Z,7/30/2025,9:15:25 AM,1.0135650542224708
2025-07-30T06:15:25.937Z,7/30/2025,9:15:25 AM,1.0549621281339914
2025-07-30T06:15:26.435Z,7/30/2025,9:15:26 AM,1.3401452499695696
2025-07-30T06:15:26.940Z,7/30/2025,9:15:26 AM,1.064236396399785
2025-07-30T06:15:27.439Z,7/30/2025,9:15:27 AM,1.0115524371024964
2025-07-30T06:15:27.940Z,7/30/2025,9:15:27 AM,0.853683388118218
2025-07-30T06:15:28.437Z,7/30/2025,9:15:28 AM,0.3262122493730117
2025-07-30T06:15:28.941Z,7/30/2025,9:15:28 AM,0.8982085637667903
2025-07-30T06:15:29.440Z,7/30/2025,9:15:29 AM,1.415577571984312
2025-07-30T06:15:29.940Z,7/30/2025,9:15:29 AM,1.2210201825248426
2025-07-30T06:15:30.440Z,7/30/2025,9:15:30 AM,1.0168709098336917
2025-07-30T06:15:30.940Z,7/30/2025,9:15:30 AM,1.009861850951901
2025-07-30T06:15:31.440Z,7/30/2025,9:15:31 AM,1.0090980473378195
2025-07-30T06:15:31.938Z,7/30/2025,9:15:31 AM,2.695111837276887
2025-07-30T06:15:32.435Z,7/30/2025,9:15:32 AM,0.5900377371406001
2025-07-30T06:15:32.935Z,7/30/2025,9:15:32 AM,0.2787706883443809
2025-07-30T06:15:33.441Z,7/30/2025,9:15:33 AM,1.1660403876139969
2025-07-30T06:15:33.939Z,7/30/2025,9:15:33 AM,1.007191755537147
2025-07-30T06:15:34.440Z,7/30/2025,9:15:34 AM,1.0103379916750632
2025-07-30T06:15:34.945Z,7/30/2025,9:15:34 AM,0.9959484771518052
