id,fall,magnitude,timestamp,light,temp
1,0,1.0185205253439913,2025-08-14T14:04:49.967266,156.311019,24.384881
2,0,1.0221392748867444,2025-08-14T14:04:50.077486,156.127914,24.384881
3,0,1.0145580000901873,2025-08-14T14:04:50.177960,156.066879,24.384881
4,0,1.0185205253439913,2025-08-14T14:04:50.274784,156.066879,24.384881
5,0,1.0143473627244268,2025-08-14T14:04:50.377444,156.127914,24.384881
6,0,1.0223483068636636,2025-08-14T14:04:50.502088,156.249984,24.384881
7,0,1.0140840950128347,2025-08-14T14:04:50.579074,156.127914,24.384881
8,0,1.014851216292812,2025-08-14T14:04:50.681631,156.066879,24.384881
9,0,1.011024234590843,2025-08-14T14:05:36.891312,157.348617,24.441588
10,0,1.0224154634408655,2025-08-14T14:05:36.920314,157.348617,24.441588
11,0,1.01874520704394,2025-08-14T14:05:37.022320,157.470687,24.432136
12,0,1.0147083988841328,2025-08-14T14:05:37.122314,157.531722,24.441588
13,0,1.0224154634408655,2025-08-14T14:05:37.224592,157.531722,24.441588
14,0,1.0224154634408655,2025-08-14T14:05:37.324894,157.470687,24.441588
15,0,1.0266013420164617,2025-08-14T14:05:37.425980,157.409652,24.441588
16,0,1.0224154634408655,2025-08-14T14:05:37.526254,157.409652,24.441588
17,0,1.0148061338295111,2025-08-14T14:05:37.627806,157.409652,24.441588
18,0,1.0224975597848631,2025-08-14T14:05:37.732973,157.409652,24.441588
19,0,1.0104505255820295,2025-08-14T14:05:37.831619,157.531722,24.441588
20,0,1.014851216292812,2025-08-14T14:05:37.931449,157.531722,24.441588
21,0,1.0107299081683494,2025-08-14T14:05:38.030781,157.592757,24.441588
22,0,1.0107299081683494,2025-08-14T14:05:38.133117,157.531722,24.422684
23,0,1.0266013420164617,2025-08-14T14:05:38.231402,157.470687,24.441588
24,0,1.0180634741041443,2025-08-14T14:05:38.333795,157.470687,24.441588
25,0,1.0225945502778704,2025-08-14T14:05:38.434968,157.409652,24.441588
26,0,1.0186029356083752,2025-08-14T14:05:38.535006,157.409652,24.441588
27,0,1.0148061338295111,2025-08-14T14:05:38.637476,157.409652,24.432136
28,0,1.018453111935449,2025-08-14T14:05:38.741458,157.531722,24.441588
29,0,1.0226392893933811,2025-08-14T14:05:38.840920,157.531722,24.441588
30,0,1.0188126011249563,2025-08-14T14:05:38.938994,157.592757,24.441588
31,0,1.0191195639114186,2025-08-14T14:05:39.044294,157.531722,24.441588
32,0,1.014851216292812,2025-08-14T14:05:39.149742,157.470687,24.441588
33,0,1.0188126011249563,2025-08-14T14:05:39.242508,157.409652,24.441588
34,0,1.014851216292812,2025-08-14T14:05:39.344508,157.409652,24.441588
35,0,1.0185205253439913,2025-08-14T14:05:39.445102,157.409652,24.422684
36,0,1.015309686630636,2025-08-14T14:05:39.545115,157.470687,24.45104
37,0,1.0109110651491555,2025-08-14T14:05:39.645786,157.409652,24.441588
38,0,1.022788499852242,2025-08-14T14:05:39.751535,157.470687,24.441588
39,0,1.014851216292812,2025-08-14T14:05:39.848297,157.531722,24.432136
40,0,1.0146256722964386,2025-08-14T14:05:39.952346,157.531722,24.441588
41,0,1.0150015716391774,2025-08-14T14:05:40.062534,157.592757,24.432136
42,0,1.022788499852242,2025-08-14T14:05:40.159527,157.531722,24.441588
43,0,1.0150015716391774,2025-08-14T14:05:40.250693,157.470687,24.432136
44,0,1.0186029356083752,2025-08-14T14:05:40.351264,157.409652,24.441588
45,0,1.018453111935449,2025-08-14T14:05:40.450227,157.348617,24.432136
46,0,1.0185205253439913,2025-08-14T14:05:40.554680,157.348617,24.432136
47,0,1.0263114828189346,2025-08-14T14:05:40.653944,157.348617,24.441588
48,0,1.022706426863056,2025-08-14T14:05:40.755989,157.348617,24.441588
49,0,1.0221392748867444,2025-08-14T14:05:40.856620,157.409652,24.432136
50,0,1.0147985935874173,2025-08-14T14:05:40.956946,157.409652,24.441588
51,0,1.0262445811939764,2025-08-14T14:05:41.058505,157.348617,24.441588
52,0,1.0185205253439913,2025-08-14T14:05:41.158903,157.287582,24.432136
53,0,1.018453111935449,2025-08-14T14:05:41.260475,157.287582,24.432136
54,0,1.0262445811939764,2025-08-14T14:05:41.361571,157.226546,24.432136
55,0,1.0147083988841328,2025-08-14T14:05:41.462571,157.226546,24.432136
56,0,1.014851216292812,2025-08-14T14:05:41.562580,157.226546,24.432136
57,0,1.0188949877656677,2025-08-14T14:05:41.667631,157.226546,24.441588
58,0,1.022706426863056,2025-08-14T14:05:41.765103,157.043441,24.441588
59,0,1.0146256722964386,2025-08-14T14:05:41.869267,156.7993,24.441588
60,0,1.0146256722964386,2025-08-14T14:05:41.969306,156.67723,24.432136
61,0,1.01874520704394,2025-08-14T14:05:42.068212,156.616195,24.432136
62,0,1.0067670323476032,2025-08-14T14:05:42.170182,156.616195,24.441588
63,0,1.0188949877656677,2025-08-14T14:05:42.272707,156.616195,24.432136
64,0,1.0226392893933811,2025-08-14T14:05:42.372357,156.616195,24.432136
65,0,1.0143473627244268,2025-08-14T14:05:42.473287,156.616195,24.441588
66,0,1.0188126011249563,2025-08-14T14:05:42.574285,156.67723,24.441588
67,0,1.03020658814531,2025-08-14T14:05:42.673387,156.67723,24.441588
68,0,1.0188126011249563,2025-08-14T14:05:42.774105,156.616195,24.441588
69,0,1.01874520704394,2025-08-14T14:05:42.876563,156.55516,24.432136
70,0,1.0185205253439913,2025-08-14T14:05:42.976376,156.494125,24.432136
71,0,1.0185205253439913,2025-08-14T14:05:43.079146,156.433089,24.432136
72,0,1.0186029356083752,2025-08-14T14:05:43.178916,156.433089,24.441588
73,0,1.0188949877656677,2025-08-14T14:05:43.280331,156.55516,24.441588
74,0,1.0142796719495073,2025-08-14T14:05:43.386625,156.616195,24.441588
75,0,1.0226392893933811,2025-08-14T14:05:43.483606,156.67723,24.432136
76,0,1.0186029356083752,2025-08-14T14:05:43.584865,156.67723,24.432136
77,0,1.0147985935874173,2025-08-14T14:05:43.699869,156.67723,24.432136
78,0,1.018400675346889,2025-08-14T14:05:43.790856,156.67723,24.441588
79,0,1.0224154634408655,2025-08-14T14:05:43.885567,156.55516,24.432136
80,0,1.011024234590843,2025-08-14T14:05:43.985580,156.55516,24.432136
81,0,1.0266013420164617,2025-08-14T14:05:44.087154,156.494125,24.432136
82,0,1.014918868948154,2025-08-14T14:05:44.190154,156.55516,24.432136
