timestamp,x_axis,y_axis,z_axis,magnitude
2025-08-14T14:04:49.962277,-0.074219,0.019531,1.015625,1.0185205253439913
2025-08-14T14:04:50.063483,-0.070312,0.019531,1.019531,1.0221392748867444
2025-08-14T14:04:50.166957,-0.074219,0.015625,1.011719,1.0145580000901873
2025-08-14T14:04:50.263783,-0.074219,0.019531,1.015625,1.0185205253439913
2025-08-14T14:04:50.364447,-0.070312,0.019531,1.011719,1.0143473627244268
2025-08-14T14:04:50.493085,-0.074219,0.015625,1.019531,1.0223483068636636
2025-08-14T14:04:50.568074,-0.066406,0.019531,1.011719,1.0140840950128347
2025-08-14T14:04:50.669614,-0.078125,0.015625,1.011719,1.014851216292812
2025-08-14T14:05:36.883306,-0.078125,0.019531,1.007812,1.011024234590843
2025-08-14T14:05:36.911330,-0.074219,0.019531,1.019531,1.0224154634408655
2025-08-14T14:05:37.013312,-0.078125,0.015625,1.015625,1.01874520704394
2025-08-14T14:05:37.113317,-0.074219,0.023438,1.011719,1.0147083988841328
2025-08-14T14:05:37.215587,-0.074219,0.019531,1.019531,1.0224154634408655
2025-08-14T14:05:37.315899,-0.074219,0.019531,1.019531,1.0224154634408655
2025-08-14T14:05:37.415974,-0.078125,0.019531,1.023438,1.0266013420164617
2025-08-14T14:05:37.517245,-0.074219,0.019531,1.019531,1.0224154634408655
2025-08-14T14:05:37.617806,-0.074219,0.027344,1.011719,1.0148061338295111
2025-08-14T14:05:37.722983,-0.074219,0.023438,1.019531,1.0224975597848631
2025-08-14T14:05:37.822617,-0.070312,0.019531,1.007812,1.0104505255820295
2025-08-14T14:05:37.922461,-0.078125,0.015625,1.011719,1.014851216292812
2025-08-14T14:05:38.022781,-0.074219,0.019531,1.007812,1.0107299081683494
2025-08-14T14:05:38.123124,-0.074219,0.019531,1.007812,1.0107299081683494
2025-08-14T14:05:38.223402,-0.078125,0.019531,1.023438,1.0266013420164617
2025-08-14T14:05:38.324794,-0.066406,0.023438,1.015625,1.0180634741041443
2025-08-14T14:05:38.425957,-0.074219,0.027344,1.019531,1.0225945502778704
2025-08-14T14:05:38.526004,-0.074219,0.023438,1.015625,1.0186029356083752
2025-08-14T14:05:38.628475,-0.074219,0.027344,1.011719,1.0148061338295111
2025-08-14T14:05:38.731456,-0.074219,0.015625,1.015625,1.018453111935449
2025-08-14T14:05:38.832920,-0.078125,0.015625,1.019531,1.0226392893933811
2025-08-14T14:05:38.930996,-0.078125,0.019531,1.015625,1.0188126011249563
2025-08-14T14:05:39.035293,-0.082031,0.019531,1.015625,1.0191195639114186
2025-08-14T14:05:39.138728,-0.078125,0.015625,1.011719,1.014851216292812
2025-08-14T14:05:39.233517,-0.078125,0.019531,1.015625,1.0188126011249563
2025-08-14T14:05:39.333508,-0.078125,0.015625,1.011719,1.014851216292812
2025-08-14T14:05:39.436097,-0.074219,0.019531,1.015625,1.0185205253439913
2025-08-14T14:05:39.536124,-0.082031,0.023438,1.011719,1.015309686630636
2025-08-14T14:05:39.636785,-0.074219,0.027344,1.007812,1.0109110651491555
2025-08-14T14:05:39.741538,-0.078125,0.023438,1.019531,1.022788499852242
2025-08-14T14:05:39.838311,-0.078125,0.015625,1.011719,1.014851216292812
2025-08-14T14:05:39.943332,-0.074219,0.019531,1.011719,1.0146256722964386
2025-08-14T14:05:40.053525,-0.078125,0.023438,1.011719,1.0150015716391774
2025-08-14T14:05:40.143525,-0.078125,0.023438,1.019531,1.022788499852242
2025-08-14T14:05:40.240693,-0.078125,0.023438,1.011719,1.0150015716391774
2025-08-14T14:05:40.342274,-0.074219,0.023438,1.015625,1.0186029356083752
2025-08-14T14:05:40.441226,-0.074219,0.015625,1.015625,1.018453111935449
2025-08-14T14:05:40.545690,-0.074219,0.019531,1.015625,1.0185205253439913
2025-08-14T14:05:40.644931,-0.074219,0.019531,1.023438,1.0263114828189346
2025-08-14T14:05:40.746990,-0.078125,0.019531,1.019531,1.022706426863056
2025-08-14T14:05:40.847620,-0.070312,0.019531,1.019531,1.0221392748867444
2025-08-14T14:05:40.947959,-0.078125,0.011719,1.011719,1.0147985935874173
2025-08-14T14:05:41.049491,-0.074219,0.015625,1.023438,1.0262445811939764
2025-08-14T14:05:41.149893,-0.074219,0.019531,1.015625,1.0185205253439913
2025-08-14T14:05:41.251475,-0.074219,0.015625,1.015625,1.018453111935449
2025-08-14T14:05:41.352571,-0.074219,0.015625,1.023438,1.0262445811939764
2025-08-14T14:05:41.453571,-0.074219,0.023438,1.011719,1.0147083988841328
2025-08-14T14:05:41.553580,-0.078125,0.015625,1.011719,1.014851216292812
2025-08-14T14:05:41.657632,-0.078125,0.023438,1.015625,1.0188949877656677
2025-08-14T14:05:41.756111,-0.078125,0.019531,1.019531,1.022706426863056
2025-08-14T14:05:41.860253,-0.074219,0.019531,1.011719,1.0146256722964386
2025-08-14T14:05:41.960318,-0.074219,0.019531,1.011719,1.0146256722964386
2025-08-14T14:05:42.059206,-0.078125,0.015625,1.015625,1.01874520704394
2025-08-14T14:05:42.161728,-0.074219,0.015625,1.003906,1.0067670323476032
2025-08-14T14:05:42.262705,-0.078125,0.023438,1.015625,1.0188949877656677
2025-08-14T14:05:42.363334,-0.078125,0.015625,1.019531,1.0226392893933811
2025-08-14T14:05:42.464288,-0.070312,0.019531,1.011719,1.0143473627244268
2025-08-14T14:05:42.564275,-0.078125,0.019531,1.015625,1.0188126011249563
2025-08-14T14:05:42.664402,-0.074219,0.019531,1.027344,1.03020658814531
2025-08-14T14:05:42.766105,-0.078125,0.019531,1.015625,1.0188126011249563
2025-08-14T14:05:42.867550,-0.078125,0.015625,1.015625,1.01874520704394
2025-08-14T14:05:42.967365,-0.074219,0.019531,1.015625,1.0185205253439913
2025-08-14T14:05:43.070329,-0.074219,0.019531,1.015625,1.0185205253439913
2025-08-14T14:05:43.169916,-0.074219,0.023438,1.015625,1.0186029356083752
